name,date,open,high,low,close,volumn
MONO,14-Oct-14,3.98,4,3.9,3.9,8811500
MOONG,14-Oct-14,6.3,6.3,5.7,5.95,359300
MPG,14-Oct-14,2.16,2.18,2.1,2.12,4956200
MPIC,14-Oct-14,1.89,1.89,1.83,1.87,205800
MSC,14-Oct-14,4.52,4.54,4.5,4.5,31900
MTI,14-Oct-14,151.5,152,151,152,10600
NBC,14-Oct-14,3.36,3.38,3.34,3.36,208100
NCH,14-Oct-14,1.72,1.9,1.67,1.85,184667100
NEP,14-Oct-14,1.04,1.05,1.03,1.03,2115900
NEW,14-Oct-14,57,57.5,56.5,56.5,1300
NINE,14-Oct-14,3.72,3.72,3.62,3.64,119200
NIPPON,14-Oct-14,2.94,2.94,2.64,2.68,38716400
NKI,14-Oct-14,65.5,65.5,65.5,65.5,100
NMG,14-Oct-14,1.47,1.47,1.45,1.47,10737200
NNCL,14-Oct-14,2,2.04,2,2,521600
NOBLE,14-Oct-14,10.2,10.3,10.2,10.2,58300
NOK,14-Oct-14,14.5,14.8,14.5,14.6,814000
NPARK,14-Oct-14,0.06,0.07,0.06,0.06,2053565600
NSI,14-Oct-14,98,98,97,98,1800
NTV,14-Oct-14,33,33,32.5,32.5,16400
NUSA,14-Oct-14,1.37,1.4,1.36,1.37,32598400
NWR,14-Oct-14,2,2,1.99,1.99,4628000
NYT,14-Oct-14,15.6,15.7,15.2,15.2,1169600
OCC,14-Oct-14,17.2,17.3,17,17.2,5900
OCEAN,14-Oct-14,1.53,1.54,1.47,1.48,13341300
OFM,14-Oct-14,49.75,50,49.75,50,10800
OGC,14-Oct-14,30.75,30.75,30.75,30.75,600
OISHI,14-Oct-14,86.5,87,85.75,87,900
OTO,14-Oct-14,6.85,6.95,6.8,6.8,559900
PACE,14-Oct-14,3.68,3.7,3.66,3.68,1021000
PAE,14-Oct-14,0.92,0.93,0.9,0.91,19375100
PAF,14-Oct-14,1.35,1.39,1.35,1.37,2903200
PAP,14-Oct-14,5.55,5.6,5.55,5.6,184700
PATO,14-Oct-14,12.6,12.6,12.6,12.6,19200
PB,14-Oct-14,45.75,45.75,45,45.5,8900
PCA,14-Oct-14,7.15,7.5,7.05,7.35,30684200
PCSGH,14-Oct-14,9.75,9.75,9.65,9.65,491200
PDG,14-Oct-14,5.35,5.35,5.25,5.25,428900
